"","marker","chr","pos","trait","lod","threshold","iteration","var_exp","eff_size","ci_l_marker","ci_l_pos","ci_r_marker","ci_r_pos","probe_chr","probe_start","probe_stop"
"1306","I_1421474","I",1421474,"A_12_P112257",17.2989636708006,3.77,1,0.145690286559027,-0.38047644204388,"I_1419429",1419429,"I_1451409",1451409,"I",1424548,1424607
"1307","V_10815911","V",10815911,"A_12_P112263",4.18346163908181,3.77,1,0.110317868368836,-0.331095220891716,"V_9905233",9905233,"V_11915105",11915105,"V",724451,724510
"1308","X_4862702","X",4862702,"A_12_P112264",3.94564817973557,3.77,1,0.109836823673944,0.330302382346108,"X_3934740",3934740,"X_5676445",5676445,"IV",11304817,11304876
"1309","X_4656473","X",4656473,"A_12_P112275",4.65183571445321,3.77,1,0.128037797471866,-0.356636881208713,"X_3907685",3907685,"X_5638607",5638607,"X",4562674,4562733
"1310","X_4758185","X",4758185,"A_12_P112288",5.48113866289325,3.77,1,0.145019815124379,0.379584250745337,"X_4630882",4630882,"X_5676445",5676445,"V",8392522,8392581
"1311","X_1509755","X",1509755,"A_12_P112296",26.3478193006125,3.77,1,0.543519954012441,-0.73479281713849,"X_1479645",1479645,"X_1594701",1594701,"X",1559652,1559711
"1312","III_8929685","III",8929685,"A_12_P112306",8.40744359928865,3.77,1,0.215092057198611,0.462319453370348,"III_5111616",5111616,"III_9125163",9125163,"III",9043902,9043961
"1313","V_14290503","V",14290503,"A_12_P112333",10.1775339834527,3.77,1,0.240561530786265,-0.490470182602432,"V_14146627",14146627,"V_15269015",15269015,"V",15084148,15084207
"1314","V_5175241","V",5175241,"A_12_P112343",7.39923043578217,3.77,1,0.182453201726164,0.425800067300126,"V_5027848",5027848,"V_5602246",5602246,"V",5685868,5685927
"1315","IV_4755912","IV",4755912,"A_12_P112350",4.504662640365,3.77,1,0.117048306052222,0.341045676096281,"IV_4281922",4281922,"IV_5208413",5208413,"V",13727798,13727857
"1316","IV_12262083","IV",12262083,"A_12_P112356",8.37916188031245,3.77,1,0.211725232800782,-0.458686851308211,"IV_11896553",11896553,"IV_12672698",12672698,"IV",8739595,8739654
"1317","V_4165560","V",4165560,"A_12_P112376",16.2846806308215,3.77,1,0.368165105522517,-0.604855025369055,"V_4121406",4121406,"V_4261110",4261110,"III",11524791,11524850
"1318","V_2273347","V",2273347,"A_12_P112393",7.46011168788134,3.77,1,0.194128703200406,0.439212668260094,"V_2058158",2058158,"V_3181885",3181885,"V",14878413,14878472
"1319","II_13887705","II",13887705,"A_12_P112400",5.16152555906685,3.77,1,0.154541057801655,-0.3915784797299,"II_13735025",13735025,"II_14189728",14189728,"II",13994372,13994431
"1320","IV_14550304","IV",14550304,"A_12_P112413",4.20810373492619,3.77,1,0.110989247702994,0.332087804382418,"IV_13418977",13418977,"IV_14658591",14658591,"V",2230672,2230731
"1321","II_9360560","II",9360560,"A_12_P112415",4.4105581830446,3.77,1,0.118550878119654,-0.343227730687093,"II_7399295",7399295,"II_9894694",9894694,"II",9617420,9617479
"1322","X_5810100","X",5810100,"A_12_P112418",5.10066692901292,3.77,1,0.134464229803329,0.365538702223765,"X_4753798",4753798,"X_6159202",6159202,"V",9473466,9473525
"1323","IV_12672698","IV",12672698,"A_12_P112439",4.30769992013267,3.77,1,0.116511890927833,-0.340263297667568,"IV_11896553",11896553,"IV_12963367",12963367,"IV",6092703,6092762
"1324","X_3088382","X",3088382,"A_12_P112440",3.9757302334258,3.77,1,0.107524530168965,-0.326876544374542,"X_2636716",2636716,"X_3796301",3796301,"X",6060105,6060164
"1325","X_4758185","X",4758185,"A_12_P112441",5.43129981261304,3.77,1,0.140717422852708,0.373941716868606,"X_4630882",4630882,"X_5676445",5676445,"II",14114210,14114269
"1326","X_13731875","X",13731875,"A_12_P112474",17.1594715576497,3.77,1,0.389769798394442,0.622349111041868,"X_13673477",13673477,"X_13884615",13884615,"X",13733284,13733343
"1327","X_4758185","X",4758185,"A_12_P112476",11.4488568472795,3.77,1,0.284525505513099,0.531651791295162,"X_4630882",4630882,"X_5361887",5361887,"X",510937,510996
"1328","X_6597806","X",6597806,"A_12_P112477",3.84982172968534,3.77,1,0.105307390747368,0.32348891806944,"X_5779735",5779735,"X_9642366",9642366,"I",9048463,9048522
"1329","V_4809823","V",4809823,"A_12_P112481",4.12182401123724,3.77,1,0.104422416081037,0.322120341973982,"V_3229784",3229784,"V_5045041",5045041,"V",4039771,4039830
"1330","V_2586597","V",2586597,"A_12_P112487",7.60980179940709,3.77,1,0.197096103601821,-0.439162963956911,"V_2283377",2283377,"V_2621596",2621596,"V",2284784,2284843
"1331","V_18575988","V",18575988,"A_12_P112502",9.01298728838468,3.77,1,0.251223778884113,-0.499389656153669,"V_18407833",18407833,"V_18857067",18857067,"V",18200642,18200701
"1332","III_11913630","III",11913630,"A_12_P112504",4.26715197270764,3.77,1,0.112906315066509,-0.334957030760705,"III_11767486",11767486,"III_11997250",11997250,"III",11693424,11693483
"1333","IV_781961","IV",781961,"A_12_P112506",4.07552060076774,3.77,1,0.107636237497412,-0.327046296461028,"IV_122764",122764,"IV_991227",991227,"IV",830418,830477
"1334","III_6994821","III",6994821,"A_12_P112514",14.3229785296385,3.77,1,0.334706187867894,0.576715803064165,"III_6681836",6681836,"III_8009505",8009505,"III",7347558,7347617
"1335","X_3843271","X",3843271,"A_12_P112523",4.8607541957907,3.77,1,0.128076192342474,-0.356750167062064,"X_3157218",3157218,"X_4025890",4025890,"I",10077638,10077697
"1336","X_5291269","X",5291269,"A_12_P112530",4.33312593539054,3.77,1,0.112865188978271,-0.334896021210216,"X_4891523",4891523,"X_5569019",5569019,"V",208083,208142
"1337","V_19056022","V",19056022,"A_12_P112541",63.5721769170214,3.77,1,0.785437154162238,0.883457581237918,"V_19044206",19044206,"V_19098196",19098196,"V",19048326,19048385
"1338","III_12731659","III",12731659,"A_12_P112548",7.06656620620197,3.77,1,0.187512379577408,0.431636857953789,"III_12692227",12692227,"III_13025273",13025273,"III",12952131,12952186
"1339","II_1860584","II",1860584,"A_12_P112549",11.7205494036788,3.77,1,0.245906393326811,-0.494255589859695,"II_1718365",1718365,"II_1903099",1903099,"II",1953765,1953824
"1340","V_7335113","V",7335113,"A_12_P112552",3.99957385243105,3.77,1,0.0971828136501571,-0.310753491615308,"V_5699019",5699019,"V_11619117",11619117,"V",6896676,6896735
"1341","IV_4370981","IV",4370981,"A_12_P112559",5.91524561564425,3.77,1,0.149823081283307,0.385850745435619,"IV_3792388",3792388,"IV_5023053",5023053,"V",14305956,14306015
"1342","II_13755276","II",13755276,"A_12_P112561",4.897991684998,3.77,1,0.126561979933717,0.354635013272148,"II_13738578",13738578,"II_13877137",13877137,"IV",9220008,9220114
"1343","I_13666888","I",13666888,"A_12_P112565",4.85166525378424,3.77,1,0.128350946341289,0.357132619183762,"I_13237585",13237585,"I_14116647",14116647,"I",13548473,13548530
"1344","V_13768624","V",13768624,"A_12_P112574",6.76310199139695,3.77,1,0.168257727732063,-0.408900358314034,"V_12486434",12486434,"V_15497715",15497715,"V",15083957,15084016
"1345","V_7648043","V",7648043,"A_12_P112579",22.6509388202272,3.77,1,0.444432806482271,-0.666499942792673,"V_7626098",7626098,"V_8385482",8385482,"V",7679396,7679455
"1346","II_11654614","II",11654614,"A_12_P112595",3.94115965556026,3.77,1,0.106334690336253,-0.325062945748848,"II_10475415",10475415,"II_12073118",12073118,"II",11432553,11432612
"1347","II_3087757","II",3087757,"A_12_P112602",4.56320750003951,3.77,1,0.116355680650084,-0.340035121592514,"II_2996000",2996000,"II_3373865",3373865,"II",3246385,3246444
"1348","X_4501238","X",4501238,"A_12_P112606",6.35251511598205,3.77,1,0.160816746895584,-0.399756576949623,"X_3713398",3713398,"X_5176675",5176675,"X",4596171,4596230
"1349","II_8102088","II",8102088,"A_12_P112608",4.08397386834387,3.77,1,0.111023697508088,0.33215272881554,"II_6419993",6419993,"II_10732488",10732488,"IV",8375233,8375292
"1350","X_14142466","X",14142466,"A_12_P112622",13.2521472079069,3.77,1,0.31772902750918,-0.561899218489118,"X_13938822",13938822,"X_14281712",14281712,"X",13978619,13978678
"1351","II_12954737","II",12954737,"A_12_P112643",5.62004303041912,3.77,1,0.147597401648062,0.382974041030337,"II_12738858",12738858,"II_13083852",13083852,"II",13044745,13045049
"1352","IV_13422338","IV",13422338,"A_12_P112645",7.06541225837774,3.77,1,0.209773609972549,-0.456298296371203,"IV_13274737",13274737,"IV_14245584",14245584,"IV",13469274,13469333
"1353","IV_15961314","IV",15961314,"A_12_P112650",8.12109325732553,3.77,1,0.21236911234584,-0.459286203025769,"IV_15683717",15683717,"IV_16014568",16014568,"I",10516150,10516209
"1354","X_4758185","X",4758185,"A_12_P112651",18.8996898700464,3.77,1,0.407523813166308,0.636365280570999,"X_4639456",4639456,"X_5176675",5176675,"X",4677729,4677788
"1355","IV_15966979","IV",15966979,"A_12_P112652",3.81497473341912,3.77,1,0.102570285062285,0.31923781611044,"IV_15619530",15619530,"IV_16375110",16375110,"II",11093665,11093724
"1356","I_4259878","I",4259878,"A_12_P112673",24.8985847676203,3.77,1,0.281118404336509,-0.528536057481098,"I_4256443",4256443,"I_4702300",4702300,"I",4555490,4555549
"1357","V_2273347","V",2273347,"A_12_P112679",17.5422412326178,3.77,1,0.397957521813489,-0.628851846079668,"V_2092267",2092267,"V_2302069",2302069,"V",10545814,10545873
"1358","X_3796301","X",3796301,"A_12_P112692",4.22355589528424,3.77,1,0.112732817608395,-0.334699576003459,"X_3713398",3713398,"X_5361887",5361887,"II",10240351,10240410
"1359","V_13768624","V",13768624,"A_12_P112702",4.47864150754943,3.77,1,0.115067690803501,-0.338147888703931,"V_12298716",12298716,"V_14789933",14789933,"V",4033283,4033342
"1360","V_3685467","V",3685467,"A_12_P112713",14.3995814246203,3.77,1,0.33992593088339,-0.581195347492576,"V_3483432",3483432,"V_3853940",3853940,"V",3712401,3712460
"1361","II_12594506","II",12594506,"A_12_P112722",9.34135193744502,3.77,1,0.230209948725505,0.478290797959532,"II_12582098",12582098,"II_12610950",12610950,"II",12610306,12610365
"1362","X_5569019","X",5569019,"A_12_P112751",9.08502044313872,3.77,1,0.225640234470593,0.47351991879865,"X_4630882",4630882,"X_5810100",5810100,"X",10605577,10605636
"1363","V_8947708","V",8947708,"A_12_P112758",5.33751901281962,3.77,1,0.13706563906312,-0.369057706895139,"V_8012630",8012630,"V_10022825",10022825,"V",8597245,8597304
"1364","V_15132428","V",15132428,"A_12_P112766",26.2895909390088,3.77,1,0.507176933804932,-0.709920517923255,"V_15130626",15130626,"V_15269015",15269015,"V",15181657,15181716
"1365","I_12098639","I",12098639,"A_12_P112778",8.33662737406959,3.77,1,0.164207663813769,-0.403949144337709,"I_12048245",12048245,"I_12147931",12147931,"X",6787151,6787210
"1366","IV_2530706","IV",2530706,"A_12_P112789",30.0578329008689,3.77,1,0.57942686394165,-0.758803446110262,"IV_2525682",2525682,"IV_2571028",2571028,"IV",2565838,2565897
"1367","V_15834792","V",15834792,"A_12_P112796",13.5689150074187,3.77,1,0.323948519546412,0.567289414043871,"V_15834735",15834735,"V_15917146",15917146,"X",7085511,7085570
"1368","X_3843271","X",3843271,"A_12_P112821",3.80248726812362,3.77,1,0.101706603288914,-0.317910268971113,"X_3713398",3713398,"X_4566632",4566632,"IV",5533420,5533479
"1369","X_7801408","X",7801408,"A_12_P112823",11.1963226400406,3.77,1,0.276907795300212,-0.526219246428829,"X_7433720",7433720,"X_8030746",8030746,"X",7733315,7733374
"1370","V_18918041","V",18918041,"A_12_P112841",9.88584566316994,3.77,1,0.236918484261503,-0.48520967725445,"V_18884730",18884730,"V_19056022",19056022,"V",18895311,18895370
"1371","X_4179483","X",4179483,"A_12_P112847",4.62715259218736,3.77,1,0.123237562019721,-0.349946400200528,"X_3814926",3814926,"X_4402562",4402562,"II",6331946,6332005
"1372","II_14465917","II",14465917,"A_12_P112852",4.27231151472822,3.77,1,0.113955338231266,0.336509491680128,"II_14281152",14281152,"II_15274701",15274701,"II",15168502,15168561
"1373","V_18726513","V",18726513,"A_12_P112853",7.95212028320502,3.77,1,0.207265644743478,-0.453793396861893,"V_18438644",18438644,"V_18897872",18897872,"V",18656047,18656106
"1374","V_15348506","V",15348506,"A_12_P112868",4.86587703355394,3.77,1,0.127661125399313,0.35617162329356,"V_12442325",12442325,"V_15917146",15917146,"V",13038739,13038798
"1375","II_12066947","II",12066947,"A_12_P112883",10.3830292777536,3.77,1,0.255189727315673,0.503572001284037,"II_11882226",11882226,"II_12178961",12178961,"II",11965303,11965362
"1376","X_5576572","X",5576572,"A_12_P112891",4.31042814322752,3.77,1,0.113981400540331,0.336547970408364,"X_4674201",4674201,"X_5810100",5810100,"III",12949235,12949294
"1377","II_7433744","II",7433744,"A_12_P112904",31.6883630610533,3.77,1,0.599439021057312,-0.77178047604388,"II_7399295",7399295,"II_7659303",7659303,"II",7448156,7448261
"1378","X_5361887","X",5361887,"A_12_P112929",7.73988235271761,3.77,1,0.193189145666861,0.438148513170459,"X_5152523",5152523,"X_5676445",5676445,"I",1779858,1779917
"1379","IV_15573322","IV",15573322,"A_12_P112933",5.28825661315204,3.77,1,0.139040745458358,0.371707244160153,"IV_15393010",15393010,"IV_15636170",15636170,"V",18573147,18573206
"1380","IV_776733","IV",776733,"A_12_P112946",5.02108693518497,3.77,1,0.131444495373544,0.361410847145029,"IV_122764",122764,"IV_974972",974972,"IV",794836,794895
"1381","V_7666834","V",7666834,"A_12_P112947",21.0170424927405,3.77,1,0.416114779452628,-0.643037872421229,"V_7664706",7664706,"V_8385482",8385482,"V",7626276,7626382
"1382","IV_16167824","IV",16167824,"A_12_P112949",5.39928561534486,3.77,1,0.134436082467507,-0.365485706543306,"IV_15746218",15746218,"IV_16207052",16207052,"V",9523307,9523366
"1383","X_2995671","X",2995671,"A_12_P112951",17.549665235018,3.77,1,0.39869029115806,-0.629405165654014,"X_2932540",2932540,"X_3104255",3104255,"X",3026687,3026746
"1384","X_3843271","X",3843271,"A_12_P112970",4.32857972000851,3.77,1,0.122237441587192,0.348449502902765,"X_3594656",3594656,"X_5676445",5676445,"V",437737,437796
"1385","V_5261629","V",5261629,"A_12_P112972",3.92725544370443,3.77,1,0.103939121951005,-0.321380485999853,"V_4964433",4964433,"V_5856208",5856208,"V",5987109,5987168
"1386","I_1451409","I",1451409,"A_12_P112989",5.18698944135913,3.77,1,0.0476726375193681,0.217652956815296,"I_1370806",1370806,"I_1649397",1649397,"I",1358297,1358356
"1387","III_12731659","III",12731659,"A_12_P112992",4.81541460340712,3.77,1,0.12955821207572,-0.358808278267421,"III_12568914",12568914,"III_13025273",13025273,"III",12671455,12671514
"1388","X_8030746","X",8030746,"A_12_P112999",18.726495082796,3.77,1,0.418489017006477,0.644869762518146,"X_7931943",7931943,"X_8208528",8208528,"X",7988688,7988747
"1389","I_398834","I",398834,"A_12_P113001",4.50350505409122,3.77,1,0.0781918614085316,-0.278724591284194,"I_398834",398834,"I_977470",977470,"I",137207,137252
"1390","II_13669810","II",13669810,"A_12_P113004",25.5769246098104,3.77,1,0.510360495997488,0.713406276328447,"II_13655631",13655631,"II_13738578",13738578,"II",13655798,13655857
"1391","I_13853980","I",13853980,"A_12_P113011",25.1847623313239,3.77,1,0.511706822227923,-0.71306954180804,"I_13792781",13792781,"I_13979708",13979708,"I",13831475,13831534
"1392","IV_15746218","IV",15746218,"A_12_P113012",3.77166910959467,3.77,1,0.101319473397841,-0.317304654875092,"IV_15442610",15442610,"IV_16053550",16053550,"IV",10467106,10467165
"1393","IV_15399516","IV",15399516,"A_12_P113013",5.79428943399248,3.77,1,0.152289510698561,0.389013772293206,"IV_15393010",15393010,"IV_15442610",15442610,"III",5736957,5737016
"1394","V_19236480","V",19236480,"A_12_P113035",8.52253222963493,3.77,1,0.213556324944137,-0.460628420967011,"V_19234456",19234456,"V_19386615",19386615,"V",19472154,19472319
"1395","V_20251656","V",20251656,"A_12_P113058",20.5592976221423,3.77,1,0.429366421611259,0.653196757390357,"V_20248998",20248998,"V_20268061",20268061,"V",20250846,20250905
"1396","II_916957","II",916957,"A_12_P113068",6.60263210813467,3.77,1,0.143153922897616,0.377165194258291,"II_683543",683543,"II_1418895",1418895,"II",2319931,2319990
"1397","III_12133597","III",12133597,"A_12_P113069",4.03674085106168,3.77,1,0.115282823636173,-0.339419931621674,"III_11767486",11767486,"III_12317274",12317274,"III",12743654,12743713
"1398","IV_15961314","IV",15961314,"A_12_P113080",14.5753223590065,3.77,1,0.332908619438125,-0.575165067207666,"IV_15954820",15954820,"IV_15983752",15983752,"IV",12986953,12987012
"1399","III_1954629","III",1954629,"A_12_P113088",5.44839190224722,3.77,1,0.142927847610074,0.376867258234923,"III_1797606",1797606,"III_2063156",2063156,"III",1951924,1951983
"1400","X_4758185","X",4758185,"A_12_P113097",3.91882065999885,3.77,1,0.103728315899472,0.321054413696795,"X_3594656",3594656,"X_5676445",5676445,"X",4631495,4631554
"1401","V_3778723","V",3778723,"A_12_P113101",9.09615358082782,3.77,1,0.230499231961231,-0.478591215190032,"V_3682670",3682670,"V_3844800",3844800,"V",3800939,3800998
"1402","V_2273347","V",2273347,"A_12_P113103",11.7157221683661,3.77,1,0.287465501372926,0.53446940253376,"V_2272009",2272009,"V_2284786",2284786,"V",2244688,2244747
"1403","X_16515500","X",16515500,"A_12_P113104",5.23042632477626,3.77,1,0.138967054808086,0.371608729948683,"X_16401229",16401229,"X_17709225",17709225,"X",17701498,17701557
"1404","III_8929685","III",8929685,"A_12_P113115",13.6395387058047,3.77,1,0.324789317366454,0.568107927472616,"III_8569597",8569597,"III_9125163",9125163,"III",8675244,8675303
"1405","X_1143869","X",1143869,"A_12_P113128",5.08445021098183,3.77,1,0.146693976430233,-0.381701530286721,"X_21056",21056,"X_1496249",1496249,"X",1403785,1403844
"1406","III_11913630","III",11913630,"A_12_P113129",30.6024350222106,3.77,1,0.570891077568281,0.753193579132528,"III_11912949",11912949,"III_11987519",11987519,"III",11929154,11929213
"1407","X_4167697","X",4167697,"A_12_P113136",4.87193769473628,3.77,1,0.128350566204999,0.357132090324517,"X_3713398",3713398,"X_5361887",5361887,"X",3086053,3086112
"1408","III_981468","III",981468,"A_12_P113153",4.99493129504413,3.77,1,0.132994721234715,-0.364673638551907,"III_941809",941809,"III_1273074",1273074,"X",1984693,1984752
"1409","X_4862702","X",4862702,"A_12_P113162",6.52482274522567,3.77,1,0.164779905898583,0.404652386980674,"X_4674201",4674201,"X_5638607",5638607,"IV",12383802,12383861
"1410","IV_15683717","IV",15683717,"A_12_P113165",4.63953858235646,3.77,1,0.123108095982872,-0.349762535484095,"IV_15520335",15520335,"IV_15983752",15983752,"IV",7577143,7577202
"1411","II_3331906","II",3331906,"A_12_P113166",5.19536713697015,3.77,1,0.130411818126684,-0.359988358162704,"II_3238170",3238170,"II_3521022",3521022,"II",3369288,3369347
"1412","V_11915105","V",11915105,"A_12_P113175",7.52919092955351,3.77,1,0.191087391453635,-0.435758630390973,"V_11671299",11671299,"V_12288279",12288279,"V",12009537,12009596
"1413","X_12990531","X",12990531,"A_12_P113177",4.33477771980646,3.77,1,0.115071085655749,0.338152876870657,"X_8931681",8931681,"X_13173080",13173080,"X",12985650,12985709
"1414","IV_12896142","IV",12896142,"A_12_P113182",14.1565878018382,3.77,1,0.331205097312232,-0.573668467588334,"IV_12251581",12251581,"IV_13117565",13117565,"IV",12703430,12703484
"1415","X_5810100","X",5810100,"A_12_P113195",6.45976684368998,3.77,1,0.182298960569333,0.425489983852159,"X_5638607",5638607,"X_5993800",5993800,"II",13625519,13625578
"1416","V_17958671","V",17958671,"A_12_P113207",4.43768333476302,3.77,1,0.115417412467418,-0.338661360050895,"V_17814540",17814540,"V_18035554",18035554,"I",7967051,7967110
"1417","X_3863779","X",3863779,"A_12_P113219",3.79811512493323,3.77,1,0.100211473718037,-0.315564910718925,"X_3716925",3716925,"X_4501238",4501238,"II",10449924,10449983
"1418","X_3843271","X",3843271,"A_12_P113222",3.95879821828596,3.77,1,0.105652571574468,0.324018656858272,"X_3087529",3087529,"X_3907685",3907685,"II",2117324,2117383
"1419","V_20017989","V",20017989,"A_12_P113241",11.791456099558,3.77,1,0.282158292233701,-0.529512711631554,"V_19868806",19868806,"V_20128871",20128871,"V",19954837,19954896
"1420","X_5576572","X",5576572,"A_12_P113250",8.13914538575019,3.77,1,0.203955555725625,0.450191977251304,"X_4753798",4753798,"X_5676445",5676445,"I",8659796,8659855
"1421","II_14465917","II",14465917,"A_12_P113252",7.76122951733168,3.77,1,0.19710442531169,-0.442566124819819,"II_14281383",14281383,"II_15274701",15274701,"I",10652879,10652938
"1422","V_8653226","V",8653226,"A_12_P113259",5.19707737604782,3.77,1,0.132176212203328,-0.36241539049995,"V_7626098",7626098,"V_10022825",10022825,"V",7006610,7006669
"1423","X_4758185","X",4758185,"A_12_P113268",9.87183361828946,3.77,1,0.240405645623204,-0.488767491176127,"X_4504557",4504557,"X_5291269",5291269,"X",604677,604736
"1424","IV_4761504","IV",4761504,"A_12_P113273",4.71780524920038,3.77,1,0.143794899257645,0.377836477301401,"IV_3690986",3690986,"IV_6601583",6601583,"V",7637263,7637322
"1425","V_17435067","V",17435067,"A_12_P113280",4.00355584736199,3.77,1,0.12370468560419,0.350401935366568,"V_17176364",17176364,"V_17780513",17780513,"IV",6829365,6829424
"1426","III_2102554","III",2102554,"A_12_P113304",4.19228036765783,3.77,1,0.132017752271591,-0.361994258235549,"III_2066300",2066300,"III_2176170",2176170,"X",15928904,15929018
"1427","X_6597806","X",6597806,"A_12_P113311",5.25514742316724,3.77,1,0.140915506744255,0.374204817841177,"X_6300921",6300921,"X_7044171",7044171,"III",5509257,5509316
"1428","II_6986683","II",6986683,"A_12_P113323",4.50568799868823,3.77,1,0.121757726657786,0.347838978252889,"II_6419993",6419993,"II_9145624",9145624,"II",7078447,7078506
"1429","IV_2530706","IV",2530706,"A_12_P113327",8.97374303988834,3.77,1,0.229224184966453,0.477256114665546,"IV_2455956",2455956,"IV_2629865",2629865,"IV",164495,164554
"1430","X_5569019","X",5569019,"A_12_P113337",4.06653743386884,3.77,1,0.108361996420727,0.328147031726114,"X_4630882",4630882,"X_5676445",5676445,"II",10787761,10787820
"1431","V_12931140","V",12931140,"A_12_P113359",4.69837744922548,3.77,1,0.124565567006088,0.351826854812215,"V_12298716",12298716,"V_13228106",13228106,"V",12973067,12973126
"1432","X_5638607","X",5638607,"A_12_P113363",5.45521433457457,3.77,1,0.142538071571091,0.376353033350541,"X_3946591",3946591,"X_5922452",5922452,"V",14250440,14250499
"1433","X_3843271","X",3843271,"A_12_P113368",4.09116480269344,3.77,1,0.108980138990277,-0.329081645357338,"X_3713398",3713398,"X_3907685",3907685,"III",4499357,4499416
"1434","X_16056012","X",16056012,"A_12_P113372",15.6705556120095,3.77,1,0.363089503690844,-0.600671226135084,"X_16042807",16042807,"X_16358176",16358176,"X",15929944,15930003
"1435","IV_4332817","IV",4332817,"A_12_P113378",5.5946519405537,3.77,1,0.143148795589399,0.377158439782142,"IV_3988400",3988400,"IV_4844241",4844241,"II",6700950,6701095
"1436","V_12931140","V",12931140,"A_12_P113393",4.00956080682525,3.77,1,0.112431507368344,-0.334195942299346,"V_12402085",12402085,"V_13228106",13228106,"V",15104299,15104358
"1437","II_10856826","II",10856826,"A_12_P113421",18.6825607632693,3.77,1,0.415897662907339,-0.642870091336963,"II_10768783",10768783,"II_11408416",11408416,"II",10932976,10933035
"1438","II_13018363","II",13018363,"A_12_P113425",6.34192095150978,3.77,1,0.164289384354413,-0.40404964767482,"II_12738858",12738858,"II_13076591",13076591,"II",12781331,12781510
"1439","V_4763332","V",4763332,"A_12_P113440",6.77809957190671,3.77,1,0.165211106635774,0.405181493990072,"V_4602682",4602682,"V_5030874",5030874,"V",4824686,4824745
"1440","V_11833225","V",11833225,"A_12_P113452",10.7086197365378,3.77,1,0.258978811793544,-0.507296771362773,"V_11560384",11560384,"V_12111353",12111353,"V",11813785,11813844
"1441","IV_8778092","IV",8778092,"A_12_P113457",24.575732177448,3.77,1,0.487301756213566,0.695871371227459,"IV_8747453",8747453,"IV_8963101",8963101,"IV",8773943,8774002
"1442","V_4607533","V",4607533,"A_12_P113465",14.9144616397748,3.77,1,0.330420076096025,-0.572964513447036,"V_4563217",4563217,"V_4763332",4763332,"V",4696309,4696368
"1443","IV_10031245","IV",10031245,"A_12_P113469",57.2003192256842,3.77,1,0.750049051459795,-0.863325988157412,"IV_9995259",9995259,"IV_10327996",10327996,"IV",10268901,10268960
"1444","X_10255916","X",10255916,"A_12_P113470",8.37197816615099,3.77,1,0.210815328676664,-0.457700170533473,"X_9591109",9591109,"X_10575718",10575718,"X",10302987,10303046
"1445","X_15607625","X",15607625,"A_12_P113473",5.80692550192662,3.77,1,0.15342725502479,-0.390464215691177,"X_15507546",15507546,"X_16021441",16021441,"X",15547578,15547621
"1446","V_5571503","V",5571503,"A_12_P113476",4.3018435704539,3.77,1,0.126225636895376,0.354002173423011,"V_4884376",4884376,"V_8947708",8947708,"V",5646148,5646207
"1447","II_2133052","II",2133052,"A_12_P113494",33.9895845929901,3.77,1,0.508398574656441,-0.710774999098967,"II_2131538",2131538,"II_2196572",2196572,"II",2174624,2174683
"1448","III_3678175","III",3678175,"A_12_P113512",3.81590874639836,3.77,1,0.103436756331589,-0.320602886285017,"III_3623259",3623259,"III_5224162",5224162,"III",3849909,3849968
"1449","X_5526747","X",5526747,"A_12_P113521",6.2014845880059,3.77,1,0.159667839025644,-0.398326045822012,"X_4536045",4536045,"X_5676445",5676445,"V",7714491,7714609
"1450","X_5810100","X",5810100,"A_12_P113526",6.27074803917752,3.77,1,0.16260804855731,0.401976810808806,"X_4674201",4674201,"X_6076783",6076783,"III",6410018,6410077
"1451","V_1436415","V",1436415,"A_12_P113527",3.97057097405182,3.77,1,0.107392866501299,0.326676353089656,"V_1361176",1361176,"V_2283377",2283377,"V",12827046,12827066
"1452","I_9097209","I",9097209,"A_12_P113528",7.57271414837686,3.77,1,0.159182800555914,-0.397712602863482,"I_7969987",7969987,"I_9368840",9368840,"I",8335937,8335996
"1453","I_13853980","I",13853980,"A_12_P113538",7.61488961667841,3.77,1,0.21670212332353,-0.463785427121231,"I_13399538",13399538,"I_14006590",14006590,"V",19490965,19491020
"1454","V_13158595","V",13158595,"A_12_P113539",7.10917495805761,3.77,1,0.182787202094416,-0.426154819077338,"V_12805611",12805611,"V_13760316",13760316,"V",13307121,13307180
"1455","IV_4818285","IV",4818285,"A_12_P113545",4.08018829024278,3.77,1,0.107752372652156,0.327222683770304,"IV_4566633",4566633,"IV_5002403",5002403,"II",13833173,13833232
"1456","IV_4576321","IV",4576321,"A_12_P113547",3.77760444498012,3.77,1,0.0991746435320476,-0.313928182289548,"IV_3792388",3792388,"IV_5646749",5646749,"II",4470871,4470930
"1457","IV_10776966","IV",10776966,"A_12_P113569",25.9555665758019,3.77,1,0.489813206189896,0.697662253520602,"IV_10365714",10365714,"IV_11570976",11570976,"IV",11315778,11315837
"1458","I_3131461","I",3131461,"A_12_P113571",5.39659821849656,3.77,1,0.0441485985534827,-0.210088990425769,"I_3012716",3012716,"I_3231065",3231065,"III",11025058,11025117
"1459","III_11150034","III",11150034,"A_12_P113576",6.05267295813207,3.77,1,0.153872900682295,0.391030876773118,"III_11052616",11052616,"III_11260480",11260480,"III",11117155,11117214
"1460","V_6850366","V",6850366,"A_12_P113577",14.713429092499,3.77,1,0.337192837419517,0.578769784533649,"V_6525522",6525522,"V_7093878",7093878,"V",6892041,6892100
"1461","X_9235581","X",9235581,"A_12_P113592",4.57128566764944,3.77,1,0.122905509960839,0.349474633317148,"X_8058569",8058569,"X_10235123",10235123,"X",9296955,9297084
